id,title,release,budget,revenue,numCrew,numCast,male,female,unknown,Editing,Art,Sound,Production,Directing,Writing,Visual Effects,Costume & Make-Up,Crew,Lighting,Camera,Actors
288,High Noon,1952-06-09,730000,8000000,33,57,54,5,31,3,3,5,5,2,2,0,4,6,1,2,0
32499,The Bad and the Beautiful,1952-12-25,1558000,3373000,17,35,35,14,3,1,4,2,1,1,2,0,3,2,0,1,0
19997,Niagara,1953-01-26,1250000,8500000,28,27,37,8,10,3,3,5,1,3,3,1,7,1,0,1,0
10693,Peter Pan,1953-02-05,4000000,87404651,17,11,21,4,3,1,1,1,1,3,1,9,0,0,0,0,0
18573,House of Wax,1953-04-10,658000,23800000,12,13,17,4,4,1,2,1,1,1,2,0,2,0,0,2,0
16535,Titanic,1953-04-11,1805000,4905000,11,17,18,5,5,1,2,1,1,1,3,0,0,1,0,1,0
3110,Shane,1953-04-23,3100000,20000000,28,33,35,9,17,2,3,8,2,2,3,2,2,2,1,1,0
19483,It Came from Outer Space,1953-06-05,800000,1600000,23,21,20,4,20,1,4,6,1,2,1,1,3,3,0,1,0
35073,The Beast from 20±000 Fathoms,1953-06-13,210000,5000000,18,18,29,2,5,1,2,1,3,2,3,1,1,3,0,1,0
43353,Robot Monster,1953-06-25,16000,1000000,12,8,9,2,9,1,1,1,4,2,1,0,1,0,0,1,0
804,Roman Holiday,1953-08-26,1500000,12000000,31,29,33,6,21,2,3,5,5,3,4,0,4,2,0,3,0
11426,From Here to Eternity,1953-08-28,1650000,30500000,24,20,33,6,5,1,2,8,3,2,3,0,3,0,0,2,0
29912,The Robe,1953-09-16,4100000,36000000,15,27,30,8,4,1,4,1,1,1,4,0,2,0,0,1,0
346,七人の侍,1954-04-26,2000000,271841,36,100,47,5,84,2,5,3,4,7,3,0,4,3,2,3,0
256758,Flame and the Flesh,1954-05-05,1275000,2294000,4,7,6,4,1,0,0,0,1,1,1,0,0,0,0,1,0
173,20±000 Leagues Under the Sea,1954-05-13,5000000,28200000,13,20,28,1,4,1,2,4,1,1,2,0,1,0,0,1,0
29057,Monster from the Ocean Floor,1954-05-21,12000,117000,4,7,5,1,5,0,0,0,1,1,1,0,0,0,0,1,0
521,Dial M for Murder,1954-05-29,1400000,3000000,18,18,28,2,6,1,3,3,1,2,1,0,3,0,1,3,0
654,On the Waterfront,1954-06-22,910000,9600000,16,22,28,5,5,1,1,2,2,1,2,0,5,1,0,1,0
10178,The Caine Mutiny,1954-06-23,2000000,21750000,28,42,53,4,13,3,3,3,1,3,3,0,4,6,0,2,0
24973,The Egyptian,1954-08-25,5000000,15000000,16,59,39,20,16,1,4,2,3,1,3,0,1,0,0,1,0
567,Rear Window,1954-09-01,1000000,36764313,17,22,25,10,4,1,4,2,3,1,2,0,2,1,0,1,0
6620,Sabrina,1954-09-28,2238813,10000000,25,39,43,9,12,2,5,4,1,2,4,2,3,1,0,1,0
3111,A Star Is Born,1954-10-01,5019770,4335968,16,14,19,6,5,1,2,1,3,1,3,0,2,0,1,2,0
1678,ゴジラ,1954-11-03,900000,2250000,8,30,17,2,19,1,0,1,1,1,2,0,0,1,0,1,0
65212,The Silver Chalice,1954-12-20,4500000,3200000,14,27,25,5,11,1,3,1,2,2,2,0,2,0,0,1,0
14554,Bad Day at Black Rock,1955-01-13,1271000,3788000,22,16,32,1,5,2,4,5,2,2,3,0,0,3,0,1,0
20174,The Fast and the Furious,1955-02-15,66000,250000,22,17,18,4,17,1,0,4,7,2,3,0,1,3,0,1,0
220,East of Eden,1955-03-09,1,5,25,63,54,8,26,1,4,3,3,4,2,0,4,2,0,2,0
